NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE;TYPE;TELEPHONE
Aldi;Chaussée de Bruxelles;389;6042;Lodelinsart;Grande surface;;
Auto Charleroi Pièces;Chaussée de Bruxelles;257;6042;Lodelinsart;Voiture;;071/32 80 04
Auto Daulphine;Chaussée de Bruxelles;44;6042;Lodelinsart;Voiture;;071/70 07 95
Barber King;Rue Try-Colau;2;6042;Lodelinsart;Coiffeur;;
Boulangerie;Chaussée de Châtelet;28;6042;Lodelinsart;Boulangerie;;071/30 56 87
Centre funéraire Charles-Renard;Place Try-Colau;02-juin;6042;Lodelinsart;Funérarium;;071/31 36 62
Ets Yves Marche;Chaussée de Châtelet;409;6042;Lodelinsart;Maison & Décoration;;071/42 21 98
GL Assurances;Chaussée de Bruxelles;69;6042;Lodelinsart;Banque & Assurance;;071/19 26 13
Hainaut Caravaning;Chaussée de Bruxelles;296;6042;Lodelinsart;Voiture;;071/32 43 18
ID Jardins SPRL;Rue Cornelis Debruyn;141;6042;Lodelinsart;Maison & Décoration;;071/32 12 01
Ideal Wash;Chaussée de Bruxelles;361;6042;Lodelinsart;Voiture;;0497/54 86 12
ING;Chaussée de Bruxelles;204;6042;Lodelinsart;Banque & Assurance;;071/23 95 20
Les Métiers du Bois;Chaussée de Bruxelles;233;6042;Lodelinsart;Maison & Décoration;;071/32 09 09
Lukoil;Chaussée de Châtelet;183;6042;Lodelinsart;Voiture;;071/32 49 08
Magic Express;Rue du Try-Colau;30;6042;Lodelinsart;Alimentation générale;;071/33 45 98
MD Coiffure;Chaussée de Bruxelles;70;6042;Lodelinsart;Coiffeur;;0493/36 85 92
Patricia Mascaux;Rue Balizeau;38;6042;Lodelinsart;Coiffeur;;071/33 32 18
Pharmacie Appart-Devaux;Chaussée de Bruxelles;494;6042;Lodelinsart;Pharmacie;;071/32 03 90
Pharmacie Grégoire;Chaussée de Bruxelles;85;6042;Lodelinsart;Pharmacie;;071/31 28 29
Mediconfort;Chaussée de Bruxelles;317;6042;Lodelinsart;Bien-être;Matériel médical;071/32 35 10
Station-service Power;Chaussée de Châtelet;90;6042;Lodelinsart;Voiture;;
Super Grande Boucherie;Chaussée de Bruxelles;364;6042;Lodelinsart;Boucherie;;071/32 47 93
Mister Chassis;Place du Perron;44;6030;Marchienne-au-Pont;Construction;;071 47 06 57
Snack Aksaray Kötte;Route de Mons;22;6030;Marchienne-au-Pont;Snack;;
Dayim (Ets Lycamobile);Route de Mons;25;6030;Marchienne-au-Pont;Alimentation générale;;+32 (0)46 600 1976
Reyhan Supermarché;Route de Mons;51;6030;Marchienne-au-Pont;Grande surface;;071 30 37 10
Solderie Vanessa;Route de Mons;59;6030;Marchienne-au-Pont;Solderie;;071 31 01 41
Le Cleb'Art;Rue  Pierre Bauwens;39;6030;Marchienne-au-Pont;Toilettage;;071 31 22 26
Optique Médicale;Rue  Pierre Bauwens;6;6030;Marchienne-au-Pont;Opticien;;071 32 66 61
Coiffure Géraldine;Rue de Beaumont;117;6030;Marchienne-au-Pont;Coiffeur;;0488 66 88 03
Zeeman;Rue de Beaumont;119;6030;Marchienne-au-Pont;Mode;;071 47 92 30
Café Chez Raymond et Yolé;Rue de Beaumont;217;6030;Marchienne-au-Pont;Café;;
Kärcher - Genard;Rue de Beaumont;239;6030;Marchienne-au-Pont;Outillage;;071 51 17 67
New Sanical;Rue de Beaumont;347;6030;Marchienne-au-Pont;Construction;;071 51 88 50
Boulangerie Istasse;Rue de Beaumont;415;6030;Marchienne-au-Pont;Boulangerie;;071 51 58 59
Ets Technimetal;Rue de Châtelet;157-159;6030;Marchienne-au-Pont;Construction;;071 47 35 50
Le Bois d'Olivier;Rue de la Providence;92;6030;Marchienne-au-Pont;Construction;;071 32 82 44
Coiffure Franco;Rue des Bateliers;23A;6030;Marchienne-au-Pont;Coiffeur;;071 32 65 59
Ets Lixon;Rue des Chantiers;60;6030;Marchienne-au-Pont;Construction;;071 31 01 25
Café Sofia;Rue Fesler;76;6030;Marchienne-au-Pont;Café;;
Supermarché Sabir;Rue Léon Dubois;295;6030;Marchienne-au-Pont;Grande surface;;071 30 52 82
Café Le Danube;Rue Léon Dubois;305;6030;Marchienne-au-Pont;Café;;
Funérailles Liégeois;Rue Masses Diarbois;110;6043;Ransart;Funérarium;;071/35.38.09
Librairie Masses Diarbois;Rue Masses Diarbois;93-95;6043;Ransart;Librairie;;071/95.28.22
Sun7 Presse;Place Louis Delhaize;14/A;6043;Ransart;Librairie;;071/34.07.05
Les Artisans;Rue de la Station;44;6043;Ransart;Construction;Toiture;071/35.74.99
PL Coiffure;rue Paul Pastur;170;6043;Ransart;Coiffeur;;071/95 68 30
Librairie du Bois;Rue Paul Pastur;174;6043;Ransart;Librairie;;071 35 88 31
Altesse Boulangerie Pâtisserie;Rue Charbonnel;129;6043;Ransart;Boulangerie;;071 34 02 78
De Witte SPRL;Rue du Vigneron;2;6043;Ransart;Construction;Electricité;071 34 47 28
BLS Pavage & Jardins;Rue de Soleilmont;62;6043;Ransart;Construction;Pavage;071 34 00 75
LPG Technic Scris;Rue Georges Lemoine;123;6043;Ransart;Voiture;Installateur LPG;071 37 41 43
Librairie des Raspes;Rue de la Station;102;6043;Ransart;Librairie;;071 35 25 57
De Mol - Regnier Pharma SPRL;Rue de la Station;73;6043;Ransart;Pharmacie;;071 35 21 30
Ô Couleurs du Monde;Rue René Delhaize;63;6043;Ransart;Voyages;;071 33 11 05
FUN GYM CENTER;Chaussée de Bruxelles;21;6020;Dampremy;Sport;;071 32 05 54
TABAC SHOP;Chaussée de Bruxelles;212;6020;Dampremy;Alimentation générale;;
OCCASIONS COLSON;Chaussée de Bruxelles;25;6020;Dampremy;Voiture;;071 20 54 69
ONE CARS;Chaussée de Bruxelles;82;6020;Dampremy;Voiture;;0473 56 75 25
Singh Shop;Rue de Mons;37;6020;Dampremy;Alimentation générale;;
CARRELAGE BRUNO;Rue de Mons;77;6020;Dampremy;Maison & Décoration;;071/32 93 60
CARROSSERIE VANDEVILLE;Rue du Warchat;10;6020;Dampremy;Voiture;;071 33 17 08
CHEZ OMER;Rue Jean Jaurès;120;6020;Dampremy;Alimentation générale;;071 30 67 71
LE DIEKIRCH;Rue Jean Jaurès;274;6020;Dampremy;Café;;071 31 32 24
JUPHARMA;Rue Joseph Wauters;170;6020;Dampremy;Pharmacie;;071 32 65 25
KLEIN LORENZINO;Rue Joseph Wauters;319;6020;Dampremy;Boulangerie;;071 32 33 38
AJEC SPRL;Place Joseph Wauters;14;6044;Roux;Construction;Chauffage;0484 59 15 66
DENYS L&L;Rue de la Lorraine;3;6044;Roux;Funérarium;Monuments funéraires;071 37 07 17
AUTO ECONOMIC CENTER;Rue de Marchienne;9;6044;Roux;Voiture;;071 45 63 28
AU BAS NATIONAL;Rue des Alliés;10;6044;Roux;Mode;;071 45 00 18
CHEZ HERVE;Rue Edmond Foulon;11;6044;Roux;Solderie;;071 45 17 10
